RSSI,Noise,PRR
-108,-106,28
-105,-107,24
-105,-105,45
-110,-100,4
-107,-107,28
-111,-101,2
-110,-103,15
-112,-102,4
-107,-102,33
-110,-102,14
-109,-101,12
-101,-106,66
-106,-109,48
-111,-104,6
-107,-110,60
-110,-106,12
-109,-104,31
-111,-105,9
-111,-97,0
-109,-108,18
-98,-105,51
-113,-96,0
-113,-104,4
-112,-106,14
-88,-95,85
-107,-109,39
-113,-102,0
-96,-104,61
-105,-108,35
-112,-109,22
-109,-110,43
-112,-101,0
-112,-108,24
-88,-96,77
-111,-103,16
-113,-99,0
-108,-107,51
-111,-106,17
-112,-105,11
-110,-104,17
-111,-99,0
-109,-109,31
-102,-107,45
-104,-107,34
-109,-106,40
-96,-103,60
-108,-95,0
-106,-110,62
-111,-107,25
-112,-103,7
-92,-100,82
-94,-102,85
-105,-110,51
-108,-108,44
-109,-107,43
-94,-101,64
-101,-105,58
-112,-100,0
-112,-102,3
-110,-105,27
-93,-101,84
-108,-101,17
-113,-100,0
-112,-104,26
-111,-108,16
-110,-109,31
-111,-102,10
-109,-100,13
-107,-108,66
-111,-100,1
-111,-95,0
-108,-105,45
-109,-96,0
-108,-104,40
-95,-103,84
-108,-106,49
-106,-107,68
-111,-101,5
-107,-106,63
-91,-100,66
-90,-98,75
-110,-101,15
-91,-99,79
-110,-103,35
-110,-107,44
-109,-102,20
-109,-105,34
-110,-102,20
-108,-109,56
-110,-99,2
-109,-98,3
-106,-108,68
-89,-98,73
-106,-105,44
-111,-104,30
-110,-106,40
-109,-104,32
-107,-107,58
-105,-107,68
-109,-103,28
-107,-105,51
-97,-104,82
-110,-100,5
-108,-107,45
-97,-105,69
-102,-108,50
-111,-103,21
-111,-98,0
-104,-106,55
-108,-100,17
-106,-106,63
-111,-105,24
-109,-108,52
-112,-96,0
-113,-98,0
-111,-99,2
-109,-106,45
-112,-99,0
-105,-109,58
-112,-97,0
-109,-101,22
-103,-104,56
-111,-102,10
-112,-101,5
-110,-104,31
-109,-107,54
-111,-94,0
-110,-108,40
-111,-100,4
-100,-106,63
-99,-105,60
-109,-99,6
-112,-103,5
-113,-107,7
-90,-99,71
-92,-100,87
-99,-106,57
-96,-104,84
-94,-102,81
-109,-93,0
-107,-109,64
-108,-105,44
-108,-103,35
-110,-97,0
-105,-106,56
-98,-105,80
-107,-104,31
-108,-99,10
-111,-101,4
-108,-106,46
-109,-97,0
-101,-107,63
-110,-105,26
-109,-100,15
-102,-104,64
-100,-105,61
-108,-104,34
-103,-107,81
-93,-101,89
-95,-102,86
-103,-108,65
-108,-102,30
-106,-107,69
-104,-105,57
-104,-108,80
-107,-106,52
-109,-92,0
-110,-98,4
-103,-106,58
-108,-108,54
-98,-102,72
-105,-108,69
-110,-101,17
-109,-102,20
-108,-97,0
-110,-96,0
-111,-96,0
-107,-107,51
-109,-98,5
-92,-99,78
-110,-102,18
-110,-103,31
-111,-106,29
-109,-103,26
-109,-105,28
-107,-108,60
-110,-99,1
-106,-109,74
-105,-103,46
-106,-108,66
-107,-105,47
-109,-101,13
-108,-107,56
-109,-104,24
-108,-106,64
-111,-104,29
-112,-98,0
-112,-105,27
-108,-110,54
-104,-107,59
-96,-103,83
-102,-106,70
-112,-107,26
-111,-97,0
-112,-102,0
-101,-106,83
-111,-103,17
-112,-106,36
-98,-104,72
-108,-105,43
-112,-104,19
-95,-103,79
-108,-109,44
-108,-111,47
-113,-105,17
-92,-101,83
-110,-106,32
-88,-97,76
-89,-97,75
-109,-106,32
-91,-99,82
-111,-102,9
-106,-106,59
-91,-100,87
-111,-105,24
-112,-100,2
-111,-100,1
-93,-101,82
-113,-103,2
-106,-104,47
-94,-102,82
-102,-107,75
-105,-107,67
-111,-101,5
-109,-109,45
-95,-101,79
-109,-107,43
-110,-104,29
-110,-100,6
-107,-110,62
-111,-99,0
-109,-108,52
-110,-107,38
-92,-100,85
-110,-103,24
-98,-106,65
-93,-100,84
-106,-111,65
-107,-103,42
-112,-103,15
-108,-101,20
-109,-99,2
-111,-107,28
-110,-101,11
-111,-103,24
-105,-104,51
-108,-104,35
-109,-100,10
-108,-98,5
-96,-102,72
-90,-99,89
-100,-107,79
-108,-106,63
-108,-103,35
-107,-106,59
-111,-104,22
-109,-105,32
-110,-102,28
-106,-107,61
-105,-105,54
-101,-108,73
-107,-104,50
-109,-95,0
-106,-105,52
-109,-104,36
-96,-104,81
-109,-103,33
-108,-102,27
-108,-100,16
-109,-96,0
-108,-107,54
-97,-103,76
-107,-107,58
-108,-105,40
-104,-104,57
-93,-102,91
-111,-98,0
-97,-104,78
-109,-102,25
-109,-97,0
-109,-101,20
-108,-99,12
-110,-95,0
-106,-102,37
-104,-106,63
-108,-108,59
-108,-104,35
-105,-106,68
-95,-103,80
-100,-106,82
-97,-105,83
-109,-98,3
-111,-95,0
-111,-92,0
-107,-108,60
-110,-99,1
-109,-94,0
-90,-98,90
-110,-105,28
-109,-106,35
-94,-101,90
-107,-109,54
-111,-102,10
-112,-101,3
-112,-102,6
-111,-109,33
-110,-98,1
-112,-105,40
-85,-94,71
-110,-100,5
-89,-98,81
-113,-104,9
-104,-109,61
-111,-100,4
-106,-108,61
-112,-104,22
-111,-101,3
